name,menu,location,y,x,area
빵어니스타,두부케이크,서울 마포구 성미산로 153-13,37.564959115956704,126.922998608147,서울
세상 끝의 라멘,끝라멘,서울 마포구 양화로7길 6-5,37.5517019070254,126.915197342929,서울
훼드라,최루탄라면,서울 서대문구 창천동 62-4,37.5563589619048,126.93538322664499,서울
해녀김밥,해녀김밥,서울 강남구 논현로85길 52,37.4981873504904,127.033813318195,서울
영국빵짐,단밭빵,전북 군산시 대학로 144-1,35.978581328355105,126.70492410535101,전북
연남동 분식점,단팥떡볶이,서울 마포구 동교로 220,37.5596469240409,126.92396044358401,서울
사루카메,사루라멘,서울 마포구 연남동 566-67,37.561059470561204,126.92265651164499,서울
팔덕식당,양푼동갈비찜,서울 서대문구 연세로5다길 41,37.5568939631466,126.933257894149,서울
익선잡방,마스카포네 치즈 오믈렛,서울 종로구 수표로28길 17-21,37.573384726987705,126.98944258200599,서울
동네정미소,오늘의 밥상,서울 마포구 서교동 468-20,37.5561308172399,126.914153270472,서울
그레인,나만의 브런치,서울 마포구 동교로46길 23,37.56234440430861,126.926067221131,서울
억조,참복불고기,서울 종로구 종로35길 21-8,37.572069149286605,127.00365155741801,서울
명성돼지갈비,돼지갈비,경기 수원시 장안구 팔달로271번길 16-16,37.2898780517991,127.014849791003,경기
프엉쌀국수,쌀국수,서울 용산구 이태원동 118-40,37.5351840721526,126.99215151509199,서울
니코키친,마가리따 피자,서울 종로구 율곡로10길 85-5,37.5738648879089,126.991999277069,서울
펄쉘,오이스터 플래터,서울 용산구 대사관로31길 16,37.5340079238959,127.006000996168,서울
미래 한우,국수전골,서울 마포구 마포대로 144,37.5470013514751,126.95375681353799,서울
숑가떡볶이,팥빙수,서울 동대문구 답십리로51길 3-10,37.5731942337466,127.05806593157499,서울
모헤닉스테이 308,"모헤닉 핫도그, 아메리카노",서울 영등포구 문래동3가 54-20,37.5147930232485,126.89662554261801,서울
을지식당,프랑스육회,서울 중구 충무로 47,37.5654591751522,126.99252355978099,서울
효도치킨,꽈리멸 치킨,서울 강남구 도산대로46길 21,37.5208421273132,127.03709341644199,서울
홍능족발 1977,족발,서울 동대문구 홍릉로 20,37.582070961621795,127.044958497105,서울
지능계발,레인보우 라떼,서울 마포구 망원동 397-14,37.55363944982079,126.903399263951,서울
째보식당,째보간장모듬세트,전북 군산시 구영3길 47,35.9869513690479,126.707842634275,전북
남한강민물매운탕,민물참게매운탕,서울 광진구 화양동 24-44,37.5456252849934,127.06623483975001,서울
소금집델리,잠봉뵈르 샌드위치,서울 마포구 월드컵로19길 14,37.556824008716795,126.908235891395,서울
빅가이즈크랩,갈릭랍스터,서울 송파구 올림픽로 240,37.5113096112036,127.09814175117701,서울
등나무집,소꼬리찜,서울 동작구 신대방동 687-14,37.4882168199255,126.90788579685899,서울
